,PC1,PC2,PC3,PC4,PC5
pclass,-0.2180022752175662,-0.3168661137873979,0.16798379421575366,-0.03328011833217842,0.04865937436885462
age,0.004196404245303098,0.23269283389960793,-0.04925907273236005,0.2650430186118671,-0.05814904081848302
sibsp,0.05486483424259969,-0.15123199404730187,-0.05872784470965653,-0.33795505693353467,0.133720893343766
parch,0.10880655664130846,-0.1501247898340396,-0.08333499323181076,-0.31182690555078807,0.1106248297064983
fare,0.20151763091382896,0.1779397523215677,-0.05325245127188178,-0.14186201880826366,0.06583269059960889
adult_male,-0.30582130435944765,0.26275155152452256,0.016965328363997487,-0.009057295136093893,0.0006814483130404558
alone,-0.16687224360834008,0.11091678425407289,0.07785627566078407,0.3409215255441227,-0.07040252095057298
sex_female,0.30624552285953355,-0.22074376402151638,-0.01079320099413765,0.12561775448692442,-0.04417828410639735
sex_male,-0.3062455228595336,0.2207437640215164,0.010793200994137622,-0.1256177544869247,0.044178284106397264
sex_nan,4.235164736271502e-22,0.0,0.0,0.0,0.0
embarked_C,0.1491173415873386,0.20024107920062076,0.29909141818687335,-0.248431896236026,-0.03481119789016723
embarked_Q,-0.003678500261228762,-0.11251258486412091,0.3322692785607567,0.24742639231794936,-0.042691023436400806
embarked_S,-0.13306740640143655,-0.10810709118907975,-0.47008961767992546,0.04137479209078136,-0.010338366035728387
embarked_nan,0.04797046964022113,0.03551383423882215,0.0015051870328868996,0.19296055249794103,0.6389816786697861
class_First,0.2079165817168921,0.33059031399861283,-0.08480893352173685,-0.007348529604487869,0.017962271667419524
class_Second,0.009777662794367509,-0.045886154138065655,-0.16718838003022096,0.08425720678052939,-0.13847643703503576
class_Third,-0.18709950305308234,-0.24749339441542828,0.209139131580994,-0.062241754694664,0.09722358253186
class_nan,-0.0,0.0,0.0,0.0,0.0
who_child,0.06098648265470563,-0.18460743672162827,-0.007172589087200389,-0.3546681520415476,0.12079484947862111
who_man,-0.3058213043594473,0.2627515515245223,0.01696532836399757,-0.009057295136093962,0.0006814483130404836
who_woman,0.2867640805924324,-0.16285097978951893,-0.013514086627958756,0.23370540401543535,-0.07704032074337215
who_nan,-2.0803609739039947e-38,3.573502826499754e-36,1.9740781929969167e-33,6.310887241768095e-30,0.0
deck_A,0.01581972990260766,0.12151180020904843,-0.002348060324996952,-0.01148949621349838,-0.02983154398984106
deck_B,0.13014032414733884,0.14353188741369896,-0.01995362879935539,0.00505221790404483,0.22278553695249487
deck_C,0.10929382458082737,0.16011693824393483,-0.05575913745342652,-0.05669320699932504,-0.038360127164988406
deck_D,0.08627766180383119,0.0990558035785616,-0.03912154639960143,0.022330974312734606,-0.08005344814136695
deck_E,0.059811673371711484,0.07249490706268485,-0.08138165985279147,0.07448391663673028,-0.06948185800861888
deck_F,0.014604676495507188,-0.022831274351059052,-0.0381433815637962,-0.011324236443549098,-0.016981029073706695
deck_G,0.019730202634713975,-0.05301094801097561,-0.025152180583016496,-0.044262234232241446,0.027652126022312845
deck_nan,-0.21170576263441077,-0.27047632099993213,0.11304301042849788,0.0016357754615654585,-0.019522780339818246
embark_town_Cherbourg,0.1491173415873386,0.20024107920062076,0.29909141818687335,-0.24843189623602596,-0.03481119789016706
embark_town_Queenstown,-0.003678500261228762,-0.11251258486412088,0.33226927856075705,0.2474263923179495,-0.04269102343640086
embark_town_Southampton,-0.1330674064014365,-0.10810709118907977,-0.4700896176799254,0.04137479209078133,-0.010338366035728196
embark_town_nan,0.04797046964022113,0.03551383423882215,0.0015051870328868996,0.19296055249794103,0.6389816786697861
alive_no,-0.28297726493521735,0.040784659902054474,0.030942516127742268,-0.1058488246856564,0.08341685333186581
alive_yes,0.28297726493521735,-0.04078465990205447,-0.03094251612774229,0.10584882468565636,-0.0834168533318658
alive_nan,-0.0,0.0,0.0,0.0,0.0
