Componente,Varianza Explicada (%),Varianza Acumulada (%)
PC1,20.38373853154504,20.38373853154504
PC2,13.592961215346788,33.976699746891825
PC3,11.001009658542017,44.97770940543384
PC4,7.5551092719200685,52.53281867735391
PC5,6.138249929900131,58.67106860725404
PC6,5.5994056423895895,64.27047424964363
PC7,4.432600707018406,68.70307495666204
PC8,4.000283234073725,72.70335819073576
PC9,3.2913633347391653,75.99472152547492
PC10,3.1725293486170614,79.16725087409198
PC11,3.0889099482881432,82.25616082238012
PC12,3.040346467929042,85.29650729030917
PC13,3.03768928642372,88.33419657673288
PC14,2.934324463531339,91.26852104026422
PC15,2.33790575189405,93.60642679215827
PC16,1.7102556791372963,95.31668247129556
PC17,1.430142633565919,96.74682510486149
PC18,1.2242772670638256,97.97110237192531
PC19,0.8931603552573781,98.86426272718269
PC20,0.7964283878051598,99.66069111498786
PC21,0.3393088850121262,99.99999999999997
PC22,5.0311692322800466e-30,99.99999999999997
PC23,1.175389306916297e-30,99.99999999999997
PC24,7.112396823094107e-31,99.99999999999997
PC25,6.720006927807749e-31,99.99999999999997
PC26,5.091728555444844e-31,99.99999999999997
PC27,4.039998459234095e-31,99.99999999999997
PC28,2.6309010070582724e-31,99.99999999999997
PC29,1.113504534874172e-31,99.99999999999997
PC30,1.113504534874172e-31,99.99999999999997
PC31,1.113504534874172e-31,99.99999999999997
PC32,1.113504534874172e-31,99.99999999999997
PC33,1.113504534874172e-31,99.99999999999997
PC34,1.113504534874172e-31,99.99999999999997
PC35,6.108221672260288e-32,99.99999999999997
PC36,4.751127901154593e-32,99.99999999999997
PC37,6.236476932111592e-33,99.99999999999997
